spanish,english
gracias,thanks
ser,be
a,to
ir,to go
estar,to be
bueno,good
de,from
su,her
hacer,to make
amigo,friend
por favor,please
no,no
en,in
tener,to possess
un,one
ahora,now
y,and
que,what
por,by
amar,to love
quién, who
para,to
venir,to come
porque,because
el,the
antes,before
más,more
bien,well
aquí,here
querer,to love
hola,hello
tú,you
poder,to be able
gustar,to be pleasing
poner,to put
casi,almost
saber,to know
como,like
donde,where
dar,to give
pero,but
mucho,much
nuevo,new
cuando,when
entender,to understand
si,if
o,or
feliz,happy
mismo,same
muy,very
nunca,never
yo,I
me,me
sí,yes
grande,big
deber,should
usted,you
bajo,under
otro,other
salir,to leave
desde,from
ver,to see
malo,bad
pensar,to think
hasta,until
tanto,tan
entre,among
durante,during
llevar,to carry
siempre,always
empezar, to begin
él,he
ella,she
ellos,they
leer,to read
cosa,thing
sacar,to remove
conocer,to know
primero,first
andar,to walk
sobre,about
echar,to throw
sin,without
decir,to say
trabajar,to work
nosotros,us
también,also
adiós,goodbye
comer,to eat
triste,sad
país,country
escuchar,to listen to
hombre,man
mujer,woman
reer,to think
encontrar,to find
beber,to drink
